geolocation,count
"('no result', 'no result', 'no result')",84422
"('-6.0', '72.0', 'British Indian Ocean Territory')",1340
"('53.41667', '-2.25', 'Manchester')",429
"('28.65195', '77.23149', 'Delhi')",375
"('-25.0', '135.0', 'Commonwealth of Australia')",208
"('33.0', '66.0', 'Islamic Republic of Afghanistan')",207
"('39.76', '-98.5', 'United States')",191
"('48.85341', '2.3488', 'Paris')",190
"('40.4165', '-3.70256', 'Madrid')",185
"('45.46427', '9.18951', 'Milan')",163
"('26.0112', '-80.14949', 'Hollywood')",158
"('51.49227', '-0.30864', 'London')",149
"('32.18574', '-96.88662', 'Town of Italy')",146
"('54.75844', '-2.69531', 'United Kingdom of Great Britain and Northern Ireland')",145
"('52.16045', '-0.70312', 'England')",136
"('30.0', '70.0', 'Islamic Republic of Pakistan')",130
"('46.0', '2.0', 'Republic of France')",128
"('48.69096', '9.14062', 'Europe')",114
"('53.48097', '-2.24555', 'Manchester City Centre')",104
